#num,year,month,date,time[second],SeaIceExtent[km2]
600,1982,03,23,106963200,5070519
601,1982,03,25,107136000,5291943
602,1982,03,27,107308800,5575757
603,1982,03,29,107478000,5812996
604,1982,03,31,107650800,6041457
605,1982,04,02,107823600,6308476
606,1982,04,04,107996400,6541875
607,1982,04,06,108169200,6718130
608,1982,04,08,108342000,6891306
609,1982,04,10,108514800,7128649
610,1982,04,12,108687600,7349543
611,1982,04,14,108860400,7633237
612,1982,04,16,109033200,7911555
613,1982,04,18,109206000,8127382
614,1982,04,20,109378800,8335901
615,1982,04,22,109551600,8488516
616,1982,04,24,109724400,8715114
617,1982,04,26,109897200,8905680
618,1982,04,28,110070000,9107215
619,1982,04,30,110242800,9380948
620,1982,05,02,110415600,9579447
621,1982,05,04,110588400,9763043
622,1982,05,06,110761200,9950293
623,1982,05,08,110934000,10235401
624,1982,05,10,111106800,10475184
625,1982,05,12,111279600,10699163
626,1982,05,14,111452400,10793465
627,1982,05,16,111625200,10927247
628,1982,05,18,111798000,11101316
629,1982,05,20,111970800,11356130
630,1982,05,22,112143600,11495824
631,1982,05,24,112316400,11691679
632,1982,05,26,112489200,11857427
633,1982,05,28,112662000,12069172
634,1982,05,30,112834800,12221186
635,1982,06,01,113007600,12341019
636,1982,06,03,113180400,12565608
637,1982,06,05,113353200,12814520
638,1982,06,07,113526000,12997140
639,1982,06,09,113698800,13191913
640,1982,06,11,113871600,13391669
641,1982,06,13,114044400,13597804
642,1982,06,15,114217200,13748957
643,1982,06,17,114390000,13835461
644,1982,06,19,114562800,13906209
645,1982,06,21,114735600,14018880
646,1982,06,23,114908400,14175004
647,1982,06,25,115081200,14302517
648,1982,06,27,115254000,14504990
649,1982,06,29,115426800,14692558
650,1982,07,01,115599600,14950371
651,1982,07,03,115772400,15156414
652,1982,07,05,115945200,15252598
653,1982,07,07,116118000,15358419
654,1982,07,09,116290800,15448547
655,1982,07,11,116463600,15659360
656,1982,07,13,116636400,15745660
657,1982,07,17,116982000,16138747
658,1982,07,19,117154800,16212873
659,1982,07,21,117327600,16339681
660,1982,07,23,117500400,16629807
661,1982,07,25,117673200,16827999
662,1982,07,27,117846000,16907902
663,1982,07,29,118018800,16873654
664,1982,08,10,119055600,17818157
665,1982,08,12,119228400,17984268
666,1982,08,14,119401200,18037900
667,1982,08,18,119746800,18041718
668,1982,08,20,119919600,18137295
669,1982,08,22,120092400,18197306
670,1982,08,24,120265200,18200149
671,1982,08,26,120438000,18227002
672,1982,08,28,120610800,18304949
673,1982,08,30,120783600,18311943
674,1982,09,01,120956400,18517491
675,1982,09,03,121129200,18642092
676,1982,09,05,121302000,18650099
677,1982,09,07,121474800,18577125
678,1982,09,09,121647600,18542212
679,1982,09,11,121820400,18520100
680,1982,09,13,121993200,18444834
681,1982,09,15,122166000,18444971
682,1982,09,17,122338800,18527428
683,1982,09,19,122511600,18512479
684,1982,09,21,122684400,18442743
685,1982,09,23,122857200,18462431
686,1982,09,25,123030000,18434825
687,1982,09,27,123202800,18429877
688,1982,09,29,123375600,18387172
689,1982,10,01,123548400,18374033
690,1982,10,03,123721200,18304201
691,1982,10,05,123894000,18220836
692,1982,10,07,124066800,18275912
693,1982,10,09,124239600,18297631
694,1982,10,11,124412400,18179419
695,1982,10,13,124585200,18006561
696,1982,10,15,124758000,17994898
697,1982,10,17,124930800,17960132
698,1982,10,19,125103600,17907049
699,1982,10,21,125276400,17890366
700,1982,10,23,125449200,17849242
